"name","short_name","city","region","district","founder","type","coordinates","rosrid_id"
"Федеральное государственное автономное образовательное учреждение высшего образования «Пермский государственный национальный исследовательский университет»","ПГНИУ","Пермь","Пермский край","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[58.008395,56.188031]",6559035
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Псковский государственный университет»","ПсковГУ","Псков","Псковская область","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[57.819360,28.333762]",8713383
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия музыки имени Гнесиных»","РАМ","Москва","Москва","Центральный","Министерство культуры Российской Федерации","Базовая часть","[55.755662,37.591512]",3030059
"Федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина»","РГУНиГ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.692232,37.554870]",8488867
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»","РАНХиГС","Москва","Москва","Центральный","Правительство Российской Федерации","Территориальное/отраслевое лидерство","[55.667264,37.477049]",7917615
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский институт театрального искусства – ГИТИС»","ГИТИС","Москва","Москва","Центральный","Министерство культуры Российской Федерации","Базовая часть","[55.754765,37.603487]",2132383
"Федеральное государственное автономное  образовательное учреждение высшего образования «Российский университет дружбы народов»","РУДН","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.651983,37.499363]",6709402
"Федеральное государственное бюджетное образовательное учреждение высшего образования «МИРЭА - Российский технологический университет»","РТУ МИРЭА","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.673296,37.480067]",1706014
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский химико-технологический университет имени Д.И. Менделеева»","РХТУ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[55.778892,37.595420]",8540934
"Федеральное государственное автономное образовательное учреждение высшего образования «Самарский национальный исследовательский университет имени академика С.П. Королева»","Самарский университет","Самара","Самарская область","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[53.211967,50.177502]",9659464
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный морской технический университет»","СПБГМТУ","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[59.918102,30.276612]",9825619
"Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет аэрокосмического приборостроения»","ГУАП","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[59.929560,30.296671]",9815055
"Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»","СПбПУ","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[60.007465,30.373109]",9764615
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского»","СГУ","Саратов","Саратовская область","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[51.538862,46.010200]",9690194
"Федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский государственный университет»","СевГУ","Севастополь","Севастополь","Южный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[44.594836,33.475890]",106287
"Федеральное государственное автономное образовательное учреждение высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова»","СВФУ","Якутск","Сахалинская область","Дальневосточный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[62.021781,129.710547]",9268828
"Федеральное государственное автономное образовательное учреждение высшего образования «Северо-Кавказский федеральный университет»","СКФУ","Ставрополь","Ставропольский край","Северо-Кавказский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[45.042113,41.961556]",9007531
"Федеральное государственное автономное образовательное учреждение высшего образования «Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет)»","Первый МГМУ","Москва","Москва","Центральный","Министерство здравоохранения Российской Федерации","Исследовательское лидерство","[55.727673,37.574875]",2000001
