level,block_title,group_number,group_title,program_number,program_title
Магистратура,"Инженерное дело, технологии и технические науки",29.00.00,Технологии легкой промышленности,29.04.03,Технология полиграфического и упаковочного производства
Магистратура,"Инженерное дело, технологии и технические науки",29.00.00,Технологии легкой промышленности,29.04.04,Технология художественной обработки материалов
Магистратура,"Инженерное дело, технологии и технические науки",29.00.00,Технологии легкой промышленности,29.04.05,Конструирование изделий легкой промышленности
Магистратура,Здравоохранение и медицинские науки,32.00.00,Науки о здоровье и профилактическая медицина,32.04.01,Общественное здравоохранение
Магистратура,Здравоохранение и медицинские науки,33.00.00,Фармация,33.04.01,Промышленная фармация
Магистратура,Здравоохранение и медицинские науки,34.00.00,Сестринское дело,34.04.01,Управление сестринской деятельностью
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.01,Лесное дело
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.02,Технология лесозаготовительных и деревоперерабатывающих производств
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.03,Агрохимия и агропочвоведение
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.04,Агрономия
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.05,Садоводство
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.06,Агроинженерия
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.07,Водные биоресурсы и аквакультура
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.08,Промышленное рыболовство
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.09,Ландшафтная архитектура
Магистратура,Сельское хозяйство и сельскохозяйственные науки,35.00.00,"Сельское, лесное и рыбное хозяйство",35.04.10,Гидромелиорация
Магистратура,Сельское хозяйство и сельскохозяйственные науки,36.00.00,Ветеринария и зоотехния,36.04.01,Ветеринарно-санитарная экспертиза
Магистратура,Сельское хозяйство и сельскохозяйственные науки,36.00.00,Ветеринария и зоотехния,36.04.02,Зоотехния
Магистратура,Науки об обществе,37.00.00,Психологические науки,37.04.01,Психология
Магистратура,Науки об обществе,37.00.00,Психологические науки,37.04.02,Конфликтология
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.01,Экономика
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.02,Менеджмент
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.03,Управление персоналом
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.04,Государственное и муниципальное управление
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.05,Бизнес-информатика
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.06,Торговое дело
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.07,Товароведение
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.08,Финансы и кредит
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.09,Государственный аудит
Магистратура,Науки об обществе,38.00.00,Экономика и управление,38.04.10,Жилищное хозяйство и коммунальная инфраструктура
Магистратура,Науки об обществе,39.00.00,Социология и социальная работа,39.04.01,Социология
Магистратура,Науки об обществе,39.00.00,Социология и социальная работа,39.04.02,Социальная работа
Магистратура,Науки об обществе,39.00.00,Социология и социальная работа,39.04.03,Организация работы с молодежью
Магистратура,Науки об обществе,40.00.00,Юриспруденция,40.04.01,Юриспруденция
Магистратура,Науки об обществе,41.00.00,Политические науки и регионоведение,41.04.01,Зарубежное регионоведение
Магистратура,Науки об обществе,41.00.00,Политические науки и регионоведение,41.04.02,Регионоведение России
Магистратура,Науки об обществе,41.00.00,Политические науки и регионоведение,41.04.03,Востоковедение и африканистика
Магистратура,Науки об обществе,41.00.00,Политические науки и регионоведение,41.04.04,Политология
Магистратура,Науки об обществе,41.00.00,Политические науки и регионоведение,41.04.05,Международные отношения
Магистратура,Науки об обществе,41.00.00,Политические науки и регионоведение,41.04.06,Публичная политика
Магистратура,Науки об обществе,42.00.00,Средства массовой информации и информационно-библиотечное дело,42.04.01,Реклама и связи с общественностью
Магистратура,Науки об обществе,42.00.00,Средства массовой информации и информационно-библиотечное дело,42.04.02,Журналистика
Магистратура,Науки об обществе,42.00.00,Средства массовой информации и информационно-библиотечное дело,42.04.03,Издательское дело
Магистратура,Науки об обществе,42.00.00,Средства массовой информации и информационно-библиотечное дело,42.04.04,Телевидение
Магистратура,Науки об обществе,42.00.00,Средства массовой информации и информационно-библиотечное дело,42.04.05,Медиакоммуникации
Магистратура,Науки об обществе,43.00.00,Сервис и туризм,43.04.01,Сервис
Магистратура,Науки об обществе,43.00.00,Сервис и туризм,43.04.02,Туризм
Магистратура,Науки об обществе,43.00.00,Сервис и туризм,43.04.03,Гостиничное дело
Магистратура,Образование и педагогические науки,44.00.00,Образование и педагогические науки,44.04.01,Педагогическое образование
Магистратура,Образование и педагогические науки,44.00.00,Образование и педагогические науки,44.04.02,Психолого-педагогическое образование
Магистратура,Образование и педагогические науки,44.00.00,Образование и педагогические науки,44.04.03,Специальное (дефектологическое) образование
Магистратура,Образование и педагогические науки,44.00.00,Образование и педагогические науки,44.04.04,Профессиональное обучение (по отраслям)
Магистратура,Гуманитарные науки,45.00.00,Языкознание и литературоведение,45.04.01,Филология
Магистратура,Гуманитарные науки,45.00.00,Языкознание и литературоведение,45.04.02,Лингвистика
Магистратура,Гуманитарные науки,45.00.00,Языкознание и литературоведение,45.04.03,Фундаментальная и прикладная лингвистика
Магистратура,Гуманитарные науки,45.00.00,Языкознание и литературоведение,45.04.04,Интеллектуальные системы в гуманитарной среде
Магистратура,Гуманитарные науки,46.00.00,История и археология,46.04.01,История
Магистратура,Гуманитарные науки,46.00.00,История и археология,46.04.02,Документоведение и архивоведение
Магистратура,Гуманитарные науки,46.00.00,История и археология,46.04.03,Антропология и этнология
Магистратура,Гуманитарные науки,46.00.00,История и археология,46.04.04,Археология
Магистратура,Гуманитарные науки,47.00.00,"Философия, этика и религиоведение",47.04.01,Философия
Магистратура,Гуманитарные науки,47.00.00,"Философия, этика и религиоведение",47.04.02,Прикладная этика
Магистратура,Гуманитарные науки,47.00.00,"Философия, этика и религиоведение",47.04.03,Религиоведение
Магистратура,Гуманитарные науки,48.00.00,Теология,48.04.01,Теология
Магистратура,Гуманитарные науки,49.00.00,Физическая культура и спорт,49.04.01,Физическая культура
Магистратура,Гуманитарные науки,49.00.00,Физическая культура и спорт,49.04.02,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
Магистратура,Гуманитарные науки,49.00.00,Физическая культура и спорт,49.04.03,Спорт
